b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,2.0,0.25,0.25,0,40,tit_for_tat,same,mock:trained-reciprocal,34,0.825,1.0,0,174.0,0.5,False,False
4.0,2.0,0.25,0.25,1,40,tit_for_tat,same,mock:trained-reciprocal,31,0.95,0.975,0,160.0,0.5,False,False
4.0,2.0,0.75,0.25,0,40,tit_for_tat,same,mock:trained-reciprocal,17,0.75,0.825,0,152.0,0.5,True,False
4.0,2.0,0.75,0.25,1,40,tit_for_tat,same,mock:trained-reciprocal,14,0.975,0.975,0,158.0,0.5,True,False
4.0,2.0,0.25,0.75,0,40,tit_for_tat,same,mock:trained-reciprocal,33,0.825,0.975,0,170.0,0.5,False,True
4.0,2.0,0.25,0.75,1,40,tit_for_tat,same,mock:trained-reciprocal,32,0.95,0.975,0,160.0,0.5,False,True
4.0,2.0,0.75,0.75,0,40,tit_for_tat,same,mock:trained-reciprocal,12,0.8,0.85,0,152.0,0.5,True,True
4.0,2.0,0.75,0.75,1,40,tit_for_tat,same,mock:trained-reciprocal,13,0.975,1.0,0,162.0,0.5,True,True
4.0,2.0,0.25,0.25,0,40,always_defect,same,mock:trained-reciprocal,34,0.75,0.0,0,20.0,0.5,False,False
4.0,2.0,0.25,0.25,1,40,always_defect,same,mock:trained-reciprocal,31,0.825,0.0,0,14.0,0.5,False,False
4.0,2.0,0.75,0.25,0,40,always_defect,same,mock:trained-reciprocal,17,0.4,0.0,0,48.0,0.5,True,False
4.0,2.0,0.75,0.25,1,40,always_defect,same,mock:trained-reciprocal,14,0.5,0.0,0,40.0,0.5,True,False
4.0,2.0,0.25,0.75,0,40,always_defect,same,mock:trained-reciprocal,33,0.725,0.0,0,22.0,0.5,False,True
4.0,2.0,0.25,0.75,1,40,always_defect,same,mock:trained-reciprocal,32,0.775,0.0,0,18.0,0.5,False,True
4.0,2.0,0.75,0.75,0,40,always_defect,same,mock:trained-reciprocal,12,0.275,0.0,0,58.0,0.5,True,True
4.0,2.0,0.75,0.75,1,40,always_defect,same,mock:trained-reciprocal,13,0.45,0.0,0,44.0,0.5,True,True
