b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,2.0,0.0,0.0,0,20,tit_for_tat,same,qwen3-32b-base,19,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.0,0.0,1,20,tit_for_tat,same,qwen3-32b-base,19,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.0,0,20,tit_for_tat,same,qwen3-32b-base,12,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.0,1,20,tit_for_tat,same,qwen3-32b-base,9,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,1.0,0.0,0,20,tit_for_tat,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.0,1,20,tit_for_tat,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,0.0,0.5,0,20,tit_for_tat,same,qwen3-32b-base,19,0.55,1.0,0,98.0,0.5,False,False
4.0,2.0,0.0,0.5,1,20,tit_for_tat,same,qwen3-32b-base,19,0.7,1.0,0,92.0,0.5,False,False
4.0,2.0,0.5,0.5,0,20,tit_for_tat,same,qwen3-32b-base,12,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.5,1,20,tit_for_tat,same,qwen3-32b-base,14,0.65,0.95,0,90.0,0.5,False,False
4.0,2.0,1.0,0.5,0,20,tit_for_tat,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.5,1,20,tit_for_tat,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,0.0,1.0,0,20,tit_for_tat,same,qwen3-32b-base,19,1.0,1.0,0,80.0,0.5,False,True
4.0,2.0,0.0,1.0,1,20,tit_for_tat,same,qwen3-32b-base,19,1.0,1.0,0,80.0,0.5,False,True
4.0,2.0,0.5,1.0,0,20,tit_for_tat,same,qwen3-32b-base,11,1.0,1.0,0,80.0,0.5,False,True
4.0,2.0,0.5,1.0,1,20,tit_for_tat,same,qwen3-32b-base,9,1.0,1.0,0,80.0,0.5,False,True
4.0,2.0,1.0,1.0,0,20,tit_for_tat,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,True
4.0,2.0,1.0,1.0,1,20,tit_for_tat,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,True
4.0,2.0,0.0,0.0,0,20,always_defect,same,qwen3-32b-base,19,0.0,0.0,0,40.0,0.5,False,False
4.0,2.0,0.0,0.0,1,20,always_defect,same,qwen3-32b-base,19,0.0,0.0,0,40.0,0.5,False,False
4.0,2.0,0.5,0.0,0,20,always_defect,same,qwen3-32b-base,12,0.15,0.0,0,34.0,0.5,False,False
4.0,2.0,0.5,0.0,1,20,always_defect,same,qwen3-32b-base,9,0.25,0.0,0,30.0,0.5,False,False
4.0,2.0,1.0,0.0,0,20,always_defect,same,qwen3-32b-base,0,0.1,0.0,0,36.0,0.5,True,False
4.0,2.0,1.0,0.0,1,20,always_defect,same,qwen3-32b-base,0,0.05,0.0,0,38.0,0.5,True,False
4.0,2.0,0.0,0.5,0,20,always_defect,same,qwen3-32b-base,19,0.2,0.0,0,32.0,0.5,False,False
4.0,2.0,0.0,0.5,1,20,always_defect,same,qwen3-32b-base,19,0.0,0.0,0,40.0,0.5,False,False
4.0,2.0,0.5,0.5,0,20,always_defect,same,qwen3-32b-base,12,0.35,0.0,0,26.0,0.5,False,False
4.0,2.0,0.5,0.5,1,20,always_defect,same,qwen3-32b-base,14,0.0,0.0,0,40.0,0.5,False,False
4.0,2.0,1.0,0.5,0,20,always_defect,same,qwen3-32b-base,0,0.05,0.0,0,38.0,0.5,True,False
4.0,2.0,1.0,0.5,1,20,always_defect,same,qwen3-32b-base,0,0.0,0.0,0,40.0,0.5,True,False
4.0,2.0,0.0,1.0,0,20,always_defect,same,qwen3-32b-base,19,0.0,0.0,0,40.0,0.5,False,True
4.0,2.0,0.0,1.0,1,20,always_defect,same,qwen3-32b-base,19,0.0,0.0,0,40.0,0.5,False,True
4.0,2.0,0.5,1.0,0,20,always_defect,same,qwen3-32b-base,11,0.0,0.0,0,40.0,0.5,False,True
4.0,2.0,0.5,1.0,1,20,always_defect,same,qwen3-32b-base,9,0.0,0.0,0,40.0,0.5,False,True
4.0,2.0,1.0,1.0,0,20,always_defect,same,qwen3-32b-base,0,0.0,0.0,0,40.0,0.5,True,True
4.0,2.0,1.0,1.0,1,20,always_defect,same,qwen3-32b-base,0,0.0,0.0,0,40.0,0.5,True,True
4.0,2.0,0.0,0.0,0,20,always_cooperate,same,qwen3-32b-base,19,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.0,0.0,1,20,always_cooperate,same,qwen3-32b-base,19,0.0,1.0,0,120.0,0.5,False,False
4.0,2.0,0.5,0.0,0,20,always_cooperate,same,qwen3-32b-base,12,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.0,1,20,always_cooperate,same,qwen3-32b-base,9,0.95,1.0,0,82.0,0.5,False,False
4.0,2.0,1.0,0.0,0,20,always_cooperate,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.0,1,20,always_cooperate,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,0.0,0.5,0,20,always_cooperate,same,qwen3-32b-base,19,0.3,1.0,0,108.0,0.5,False,False
4.0,2.0,0.0,0.5,1,20,always_cooperate,same,qwen3-32b-base,19,0.7,1.0,0,92.0,0.5,False,False
4.0,2.0,0.5,0.5,0,20,always_cooperate,same,qwen3-32b-base,12,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.5,1,20,always_cooperate,same,qwen3-32b-base,14,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,1.0,0.5,0,20,always_cooperate,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.5,1,20,always_cooperate,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,0.0,1.0,0,20,always_cooperate,same,qwen3-32b-base,19,1.0,1.0,0,80.0,0.5,False,True
4.0,2.0,0.0,1.0,1,20,always_cooperate,same,qwen3-32b-base,19,1.0,1.0,0,80.0,0.5,False,True
4.0,2.0,0.5,1.0,0,20,always_cooperate,same,qwen3-32b-base,11,1.0,1.0,0,80.0,0.5,False,True
4.0,2.0,0.5,1.0,1,20,always_cooperate,same,qwen3-32b-base,9,1.0,1.0,0,80.0,0.5,False,True
4.0,2.0,1.0,1.0,0,20,always_cooperate,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,True
4.0,2.0,1.0,1.0,1,20,always_cooperate,same,qwen3-32b-base,0,1.0,1.0,0,80.0,0.5,True,True
