game,memory,seed,num_rounds,opponent_strategy,model,cooperation_rate,opp_cooperation_rate,parse_failures,mean_payoff
ipd,1,0,20,always_defect,qwen3-32b-base,0.3,0.0,0,0.7
ipd,1,1,20,always_defect,qwen3-32b-base,0.35,0.0,0,0.65
ipd,2,0,20,always_defect,qwen3-32b-base,0.25,0.0,0,0.75
ipd,2,1,20,always_defect,qwen3-32b-base,0.25,0.0,0,0.75
ipd,3,0,20,always_defect,qwen3-32b-base,0.2,0.0,0,0.8
ipd,3,1,20,always_defect,qwen3-32b-base,0.1,0.0,0,0.9
ipd,4,0,20,always_defect,qwen3-32b-base,0.1,0.0,0,0.9
ipd,4,1,20,always_defect,qwen3-32b-base,0.1,0.0,0,0.9
ipd,6,0,20,always_defect,qwen3-32b-base,0.1,0.0,0,0.9
ipd,6,1,20,always_defect,qwen3-32b-base,0.05,0.0,0,0.95
chicken,1,0,20,always_defect,qwen3-32b-base,0.4,0.0,0,0.4
chicken,1,1,20,always_defect,qwen3-32b-base,0.45,0.0,0,0.45
chicken,2,0,20,always_defect,qwen3-32b-base,0.35,0.0,0,0.35
chicken,2,1,20,always_defect,qwen3-32b-base,0.35,0.0,0,0.35
chicken,3,0,20,always_defect,qwen3-32b-base,0.2,0.0,0,0.2
chicken,3,1,20,always_defect,qwen3-32b-base,0.2,0.0,0,0.2
chicken,4,0,20,always_defect,qwen3-32b-base,0.15,0.0,0,0.15
chicken,4,1,20,always_defect,qwen3-32b-base,0.2,0.0,0,0.2
chicken,6,0,20,always_defect,qwen3-32b-base,0.15,0.0,0,0.15
chicken,6,1,20,always_defect,qwen3-32b-base,0.1,0.0,0,0.1
staghunt,1,0,20,always_defect,qwen3-32b-base,0.35,0.0,0,0.65
staghunt,1,1,20,always_defect,qwen3-32b-base,0.3,0.0,0,0.7
staghunt,2,0,20,always_defect,qwen3-32b-base,0.3,0.0,0,0.7
staghunt,2,1,20,always_defect,qwen3-32b-base,0.25,0.0,0,0.75
staghunt,3,0,20,always_defect,qwen3-32b-base,0.15,0.0,0,0.85
staghunt,3,1,20,always_defect,qwen3-32b-base,0.1,0.0,0,0.9
staghunt,4,0,20,always_defect,qwen3-32b-base,0.1,0.0,0,0.9
staghunt,4,1,20,always_defect,qwen3-32b-base,0.15,0.0,0,0.85
staghunt,6,0,20,always_defect,qwen3-32b-base,0.1,0.0,0,0.9
staghunt,6,1,20,always_defect,qwen3-32b-base,0.05,0.0,0,0.95
harmony,1,0,20,always_defect,qwen3-32b-base,0.45,0.0,0,0.9
harmony,1,1,20,always_defect,qwen3-32b-base,0.5,0.0,0,1.0
harmony,2,0,20,always_defect,qwen3-32b-base,0.35,0.0,0,0.7
harmony,2,1,20,always_defect,qwen3-32b-base,0.2,0.0,0,0.4
harmony,3,0,20,always_defect,qwen3-32b-base,0.25,0.0,0,0.5
harmony,3,1,20,always_defect,qwen3-32b-base,0.1,0.0,0,0.2
harmony,4,0,20,always_defect,qwen3-32b-base,0.2,0.0,0,0.4
harmony,4,1,20,always_defect,qwen3-32b-base,0.3,0.0,0,0.6
harmony,6,0,20,always_defect,qwen3-32b-base,0.15,0.0,0,0.3
harmony,6,1,20,always_defect,qwen3-32b-base,0.15,0.0,0,0.3
