game,memory,seed,num_rounds,opponent_strategy,model,cooperation_rate,opp_cooperation_rate,parse_failures,mean_payoff
ipd,1,0,20,random,qwen3-32b-base,0.35,0.35,0,2.0
ipd,1,1,20,random,qwen3-32b-base,0.6,0.55,0,2.3
ipd,2,0,20,random,qwen3-32b-base,0.5,0.35,0,1.7
ipd,2,1,20,random,qwen3-32b-base,0.35,0.55,0,2.65
ipd,3,0,20,random,qwen3-32b-base,0.45,0.35,0,1.85
ipd,3,1,20,random,qwen3-32b-base,0.55,0.55,0,2.3
ipd,4,0,20,random,qwen3-32b-base,0.3,0.35,0,2.05
ipd,4,1,20,random,qwen3-32b-base,0.55,0.55,0,2.35
ipd,6,0,20,random,qwen3-32b-base,0.2,0.35,0,2.2
ipd,6,1,20,random,qwen3-32b-base,0.55,0.55,0,2.35
chicken,1,0,20,random,qwen3-32b-base,0.5,0.35,0,1.8
chicken,1,1,20,random,qwen3-32b-base,0.6,0.55,0,2.3
chicken,2,0,20,random,qwen3-32b-base,0.55,0.35,0,1.85
chicken,2,1,20,random,qwen3-32b-base,0.55,0.55,0,2.4
chicken,3,0,20,random,qwen3-32b-base,0.35,0.35,0,1.8
chicken,3,1,20,random,qwen3-32b-base,0.35,0.55,0,2.65
chicken,4,0,20,random,qwen3-32b-base,0.55,0.35,0,2.0
chicken,4,1,20,random,qwen3-32b-base,0.55,0.55,0,2.4
chicken,6,0,20,random,qwen3-32b-base,0.6,0.35,0,1.6
chicken,6,1,20,random,qwen3-32b-base,0.5,0.55,0,2.5
staghunt,1,0,20,random,qwen3-32b-base,0.45,0.35,0,1.55
staghunt,1,1,20,random,qwen3-32b-base,0.6,0.55,0,2.4
staghunt,2,0,20,random,qwen3-32b-base,0.35,0.35,0,1.5
staghunt,2,1,20,random,qwen3-32b-base,0.55,0.55,0,2.3
staghunt,3,0,20,random,qwen3-32b-base,0.45,0.35,0,1.7
staghunt,3,1,20,random,qwen3-32b-base,0.45,0.55,0,2.25
staghunt,4,0,20,random,qwen3-32b-base,0.25,0.35,0,1.45
staghunt,4,1,20,random,qwen3-32b-base,0.6,0.55,0,2.4
staghunt,6,0,20,random,qwen3-32b-base,0.4,0.35,0,1.6
staghunt,6,1,20,random,qwen3-32b-base,0.45,0.55,0,2.4
harmony,1,0,20,random,qwen3-32b-base,0.55,0.35,0,2.15
harmony,1,1,20,random,qwen3-32b-base,0.65,0.55,0,2.95
harmony,2,0,20,random,qwen3-32b-base,0.5,0.35,0,2.05
harmony,2,1,20,random,qwen3-32b-base,0.55,0.55,0,2.75
harmony,3,0,20,random,qwen3-32b-base,0.45,0.35,0,1.95
harmony,3,1,20,random,qwen3-32b-base,0.5,0.55,0,2.65
harmony,4,0,20,random,qwen3-32b-base,0.4,0.35,0,1.85
harmony,4,1,20,random,qwen3-32b-base,0.6,0.55,0,2.85
harmony,6,0,20,random,qwen3-32b-base,0.3,0.35,0,1.65
harmony,6,1,20,random,qwen3-32b-base,0.6,0.55,0,2.85
