game,memory,seed,num_rounds,opponent_strategy,model,cooperation_rate,opp_cooperation_rate,parse_failures,mean_payoff
ipd,1,0,20,tit_for_tat,qwen3-32b-base,0.85,0.9,0,3.0
ipd,1,1,20,tit_for_tat,qwen3-32b-base,0.9,0.95,0,3.0
ipd,2,0,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,3.1
ipd,2,1,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,3.1
ipd,3,0,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,3.0
ipd,3,1,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,3.0
ipd,4,0,20,tit_for_tat,qwen3-32b-base,0.8,0.85,0,2.95
ipd,4,1,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,3.1
ipd,6,0,20,tit_for_tat,qwen3-32b-base,0.9,0.95,0,3.0
ipd,6,1,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,3.0
chicken,1,0,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,3.1
chicken,1,1,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,3.1
chicken,2,0,20,tit_for_tat,qwen3-32b-base,0.85,0.9,0,3.1
chicken,2,1,20,tit_for_tat,qwen3-32b-base,0.85,0.9,0,2.95
chicken,3,0,20,tit_for_tat,qwen3-32b-base,0.85,0.9,0,3.1
chicken,3,1,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,3.1
chicken,4,0,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,3.1
chicken,4,1,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,3.0
chicken,6,0,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,3.0
chicken,6,1,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,3.1
staghunt,1,0,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,4.9
staghunt,1,1,20,tit_for_tat,qwen3-32b-base,0.9,0.95,0,4.7
staghunt,2,0,20,tit_for_tat,qwen3-32b-base,0.85,0.9,0,4.35
staghunt,2,1,20,tit_for_tat,qwen3-32b-base,0.85,0.9,0,4.2
staghunt,3,0,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
staghunt,3,1,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
staghunt,4,0,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
staghunt,4,1,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
staghunt,6,0,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
staghunt,6,1,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
harmony,1,0,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,4.9
harmony,1,1,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,4.9
harmony,2,0,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,4.9
harmony,2,1,20,tit_for_tat,qwen3-32b-base,0.95,1.0,0,4.9
harmony,3,0,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
harmony,3,1,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
harmony,4,0,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
harmony,4,1,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
harmony,6,0,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
harmony,6,1,20,tit_for_tat,qwen3-32b-base,1.0,1.0,0,5.0
