b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,memory,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,1.0,0.5,0.0,0,20,random,same,,qwen3-8b-base,12,0.7,0.4,0,38.0,0.25,True,False
4.0,1.0,0.5,0.0,1,20,random,same,,qwen3-8b-base,6,0.8,0.6,0,52.0,0.25,True,False
4.0,1.0,0.5,0.0,2,20,random,same,,qwen3-8b-base,9,0.05,0.4,0,51.0,0.25,True,False
4.0,1.0,0.5,0.0,3,20,random,same,,qwen3-8b-base,10,0.45,0.4,0,43.0,0.25,True,False
4.0,1.0,1.0,0.0,0,20,random,same,,qwen3-8b-base,0,0.05,0.4,0,51.0,0.25,True,False
4.0,1.0,1.0,0.0,1,20,random,same,,qwen3-8b-base,0,0.25,0.6,0,63.0,0.25,True,False
4.0,1.0,1.0,0.0,2,20,random,same,,qwen3-8b-base,0,0.15,0.4,0,49.0,0.25,True,False
4.0,1.0,1.0,0.0,3,20,random,same,,qwen3-8b-base,0,0.45,0.4,0,43.0,0.25,True,False
4.0,1.0,0.5,1.0,0,20,random,same,,qwen3-8b-base,10,0.4,0.25,0,32.0,0.25,True,True
4.0,1.0,0.5,1.0,1,20,random,same,,qwen3-8b-base,12,0.5,0.6,0,58.0,0.25,True,True
4.0,1.0,0.5,1.0,2,20,random,same,,qwen3-8b-base,9,0.6,0.35,0,36.0,0.25,True,True
4.0,1.0,0.5,1.0,3,20,random,same,,qwen3-8b-base,8,0.6,0.45,0,44.0,0.25,True,True
4.0,1.0,1.0,1.0,0,20,random,same,,qwen3-8b-base,0,0.4,0.35,0,40.0,0.25,True,True
4.0,1.0,1.0,1.0,1,20,random,same,,qwen3-8b-base,0,0.4,0.4,0,44.0,0.25,True,True
4.0,1.0,1.0,1.0,2,20,random,same,,qwen3-8b-base,0,0.4,0.35,0,40.0,0.25,True,True
4.0,1.0,1.0,1.0,3,20,random,same,,qwen3-8b-base,0,0.25,0.3,0,39.0,0.25,True,True
