b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,memory,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,4.0,0.5,0.0,0,20,wsls,same,,qwen3-8b-base,12,1.0,1.0,0,80.0,1.0,False,False
4.0,4.0,0.5,0.0,1,20,wsls,same,,qwen3-8b-base,9,1.0,1.0,0,80.0,1.0,False,False
4.0,4.0,0.5,0.0,2,20,wsls,same,,qwen3-8b-base,12,1.0,1.0,0,80.0,1.0,False,False
4.0,4.0,0.5,0.0,3,20,wsls,same,,qwen3-8b-base,10,1.0,1.0,0,80.0,1.0,False,False
4.0,4.0,1.0,0.0,0,20,wsls,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,1.0,False,False
4.0,4.0,1.0,0.0,1,20,wsls,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,1.0,False,False
4.0,4.0,1.0,0.0,2,20,wsls,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,1.0,False,False
4.0,4.0,1.0,0.0,3,20,wsls,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,1.0,False,False
4.0,4.0,0.5,1.0,0,20,wsls,same,,qwen3-8b-base,11,0.45,0.85,0,112.0,1.0,False,False
4.0,4.0,0.5,1.0,1,20,wsls,same,,qwen3-8b-base,9,0.5,0.8,0,104.0,1.0,False,False
4.0,4.0,0.5,1.0,2,20,wsls,same,,qwen3-8b-base,11,0.75,0.8,0,84.0,1.0,False,False
4.0,4.0,0.5,1.0,3,20,wsls,same,,qwen3-8b-base,12,0.7,0.9,0,96.0,1.0,False,False
4.0,4.0,1.0,1.0,0,20,wsls,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,1.0,False,False
4.0,4.0,1.0,1.0,1,20,wsls,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,1.0,False,False
4.0,4.0,1.0,1.0,2,20,wsls,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,1.0,False,False
4.0,4.0,1.0,1.0,3,20,wsls,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,1.0,False,False
