b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,memory,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,2.0,1.0,0.0,0,20,generous_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.25,1,60.0,0.5,True,False
4.0,2.0,1.0,0.0,1,20,generous_tit_for_tat,same,,qwen3-8b-base,0,0.05263157894736842,0.5,1,78.0,0.5,True,False
4.0,2.0,1.0,0.0,2,20,generous_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.4,1,72.0,0.5,True,False
4.0,2.0,1.0,0.0,3,20,generous_tit_for_tat,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.5,0,20,generous_tit_for_tat,same,,qwen3-8b-base,0,0.7368421052631579,0.75,1,72.0,0.5,True,False
4.0,2.0,1.0,0.5,1,20,generous_tit_for_tat,same,,qwen3-8b-base,0,0.4444444444444444,0.5,2,64.0,0.5,True,False
4.0,2.0,1.0,0.5,2,20,generous_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.2,0,56.0,0.5,True,False
4.0,2.0,1.0,0.5,3,20,generous_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.4,1,72.0,0.5,True,False
4.0,2.0,1.0,1.0,0,20,generous_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.3,1,64.0,0.5,True,True
4.0,2.0,1.0,1.0,1,20,generous_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.15,1,52.0,0.5,True,True
4.0,2.0,1.0,1.0,2,20,generous_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.3,1,64.0,0.5,True,True
4.0,2.0,1.0,1.0,3,20,generous_tit_for_tat,same,,qwen3-8b-base,0,0.05,0.25,0,58.0,0.5,True,True
