b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,memory,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,2.0,1.0,0.0,0,20,grim_trigger,same,,qwen3-8b-base,0,0.0,0.05,1,44.0,0.5,True,False
4.0,2.0,1.0,0.0,1,20,grim_trigger,same,,qwen3-8b-base,0,0.0,0.05,1,44.0,0.5,True,False
4.0,2.0,1.0,0.0,2,20,grim_trigger,same,,qwen3-8b-base,0,0.05263157894736842,0.05,1,42.0,0.5,True,False
4.0,2.0,1.0,0.0,3,20,grim_trigger,same,,qwen3-8b-base,0,0.0,0.05,1,44.0,0.5,True,False
4.0,2.0,1.0,0.5,0,20,grim_trigger,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.5,1,20,grim_trigger,same,,qwen3-8b-base,0,0.85,0.9,0,78.0,0.5,True,False
4.0,2.0,1.0,0.5,2,20,grim_trigger,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.5,3,20,grim_trigger,same,,qwen3-8b-base,0,0.05263157894736842,0.05,1,42.0,0.5,True,False
4.0,2.0,1.0,1.0,0,20,grim_trigger,same,,qwen3-8b-base,0,0.05263157894736842,0.1,1,46.0,0.5,True,True
4.0,2.0,1.0,1.0,1,20,grim_trigger,same,,qwen3-8b-base,0,0.95,1.0,0,82.0,0.5,True,True
4.0,2.0,1.0,1.0,2,20,grim_trigger,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,True
4.0,2.0,1.0,1.0,3,20,grim_trigger,same,,qwen3-8b-base,0,0.05263157894736842,0.1,1,46.0,0.5,True,True
