b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,memory,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,2.0,1.0,0.0,0,20,random,same,,qwen3-8b-base,0,0.05263157894736842,0.4,1,70.0,0.5,True,False
4.0,2.0,1.0,0.0,1,20,random,same,,qwen3-8b-base,0,0.10526315789473684,0.6,1,84.0,0.5,True,False
4.0,2.0,1.0,0.0,2,20,random,same,,qwen3-8b-base,0,0.0,0.4,1,72.0,0.5,True,False
4.0,2.0,1.0,0.0,3,20,random,same,,qwen3-8b-base,0,0.0,0.4,1,72.0,0.5,True,False
4.0,2.0,1.0,0.5,0,20,random,same,,qwen3-8b-base,0,0.05,0.35,0,66.0,0.5,True,False
4.0,2.0,1.0,0.5,1,20,random,same,,qwen3-8b-base,0,0.2631578947368421,0.4,1,62.0,0.5,True,False
4.0,2.0,1.0,0.5,2,20,random,same,,qwen3-8b-base,0,0.05263157894736842,0.5,1,78.0,0.5,True,False
4.0,2.0,1.0,0.5,3,20,random,same,,qwen3-8b-base,0,0.0,0.3,1,64.0,0.5,True,False
4.0,2.0,1.0,1.0,0,20,random,same,,qwen3-8b-base,0,0.0,0.35,2,68.0,0.5,True,True
4.0,2.0,1.0,1.0,1,20,random,same,,qwen3-8b-base,0,0.2631578947368421,0.4,1,62.0,0.5,True,True
4.0,2.0,1.0,1.0,2,20,random,same,,qwen3-8b-base,0,0.21052631578947367,0.35,1,60.0,0.5,True,True
4.0,2.0,1.0,1.0,3,20,random,same,,qwen3-8b-base,0,0.0,0.3,1,64.0,0.5,True,True
