scenario,seed,b,c,q,K,G,rounds,partner,model,cooperation_rate,mean_r1,mean_rho,mean_r2,mean_cfe,mean_brier,bonus,trajectory_scalar,parse_failures
0,0,5.2403760517636435,2.012327950966199,0.5,6,4,7,always_cooperate,qwen3-8b-base,0.0,1.0,-1.0,-0.20434324229115394,0.21775649831776775,0.3711111111111112,0.06534934325082897,0.6961141290143663,1
0,1,5.2403760517636435,2.012327950966199,0.5,6,4,7,always_cooperate,qwen3-8b-base,1.0,0.7225410067460659,1.0,0.20434324229115394,0.11958876575431797,0.1985714285714286,0.10950430490679439,0.8827333382896031,0
1,0,5.212584259632307,2.0288250989227055,0.25,4,3,6,tit_for_tat,qwen3-8b-base,1.0,0.7198300774798972,1.0,0.11576806240867395,0.0435581046372025,0.0625,0.1282342118632734,0.8351914562138489,0
1,1,5.212584259632307,2.0288250989227055,0.25,4,3,6,tit_for_tat,qwen3-8b-base,0.0,0.4001416021000857,0.6,0.06946083744520437,0.20071797727750063,0.0625,0.03663834624664952,0.37534984194764803,1
2,0,5.178156328253721,1.683325670234944,0.5,6,4,7,tit_for_tat,qwen3-8b-base,1.0,0.7546702489920225,1.0,0.1992927470737606,0.3394612065021488,0.0719047619047619,-0.06669935092648209,0.7747039141109255,0
2,1,5.178156328253721,1.683325670234944,0.5,6,4,7,tit_for_tat,qwen3-8b-base,0.8571428571428571,0.6819073207085875,0.6666666666666666,0.13286183138250707,0.3214389007133463,0.0280952380952381,-0.07882650564038791,0.6427887723572231,1
3,0,5.487030081371708,2.978916489377316,0.5,6,4,7,random,qwen3-8b-base,0.14285714285714285,0.5793730530298814,0.0,0.0,0.1831838655861983,0.055714285714285716,0.010580681637876928,0.4892926461850505,1
3,1,5.487030081371708,2.978916489377316,0.5,6,4,7,random,qwen3-8b-base,0.2857142857142857,0.621695779581389,0.3333333333333333,0.07265432663259931,0.14600719966635883,0.08777777777777777,0.030566413620533313,0.625713136898028,0
4,0,3.7612659304154175,3.6057549645139373,0.0,6,4,5,tit_for_tat,qwen3-8b-base,1.0,0.5105545354166511,1.0,0.07669236966960633,0.4392424037696846,0.06000000000000001,-0.0016418166203679382,0.36729733987734153,0
4,1,3.7612659304154175,3.6057549645139373,0.0,6,4,5,tit_for_tat,qwen3-8b-base,0.8,0.6084436283333209,0.5,0.03834618483480316,0.4285008645164634,0.005555555555555557,-0.0025799975462924194,0.4320233814006338,0
5,0,3.3244185981320324,1.4870288617154852,0.75,6,2,10,always_defect,qwen3-8b-base,0.1,0.2781545442847568,0.7777777777777778,0.24131134580301428,0.24052677478737383,0.02988888888888889,0.025458586031887886,0.40174836129727287,1
5,1,3.3244185981320324,1.4870288617154852,0.75,6,2,10,always_defect,qwen3-8b-base,0.0,0.3090606047608409,1.0,0.3102574446038755,0.32998093098487563,0.03444444444444445,2.960594732333751e-17,0.45432758387227856,0
6,0,4.42685461007909,2.8255534650667755,0.75,4,4,10,random,qwen3-8b-base,0.4,0.3558408426988547,0.1111111111111111,0.03638275641272144,0.13201339293649572,0.0605,-0.01195977176906018,0.3250209254664222,0
6,1,4.42685461007909,2.8255534650667755,0.75,4,4,10,random,qwen3-8b-base,0.3,0.4558408426988546,0.5555555555555556,0.1819137820636072,0.11948656327794811,0.03400000000000001,-0.010119806881512483,0.5769993624353367,1
7,0,3.650545727372893,0.45719473761187823,0.25,6,2,5,tit_for_tat,qwen3-8b-base,1.0,0.8886992151745952,1.0,0.09001920856235153,0.41864938028611814,0.10777777777777775,0.07773984303491902,0.7849417022008714,0
7,1,3.650545727372893,0.45719473761187823,0.25,6,2,5,tit_for_tat,qwen3-8b-base,0.8,0.7332195291047572,0.0,0.0,0.37292873137069665,0.03422222222222223,0.07773984303491902,0.5623031320263927,1
8,0,5.1310484775238905,2.057758459628438,0.5,6,4,10,random,qwen3-8b-base,0.0,0.42899582393776947,0.5555555555555556,0.12005202707246161,0.2155943612120605,0.10722222222222222,-0.0059376450021607855,0.44065690590398476,1
8,1,5.1310484775238905,2.057758459628438,0.5,6,4,10,random,qwen3-8b-base,0.1,0.6144979119688848,-0.3333333333333333,-0.07203121624347696,0.13459085670813864,0.18811111111111106,0.052251276019014865,0.4803963949732399,2
9,0,4.726490743892088,2.7822699982359422,0.25,4,2,10,always_defect,qwen3-8b-base,0.0,0.37053650978995367,1.0,0.14297890409810393,0.4557799741927912,0.0125,-0.06473174510502315,0.27915225228115964,2
9,1,4.726490743892088,2.7822699982359422,0.25,4,2,10,always_defect,qwen3-8b-base,0.1,0.3334828588109583,1.0,0.14297890409810393,0.4342483059963552,0.07024999999999999,-0.05825857059452082,0.25351175285143246,0
10,0,4.326894986328809,2.97504431783924,0.5,6,4,6,grim_trigger,qwen3-8b-base,1.0,0.5925679201221183,1.0,0.22396418847000646,0.4049222661631637,0.08999999999999998,-0.007713993343509874,0.6127853099532914,0
10,1,4.326894986328809,2.97504431783924,0.5,6,4,6,grim_trigger,qwen3-8b-base,0.3333333333333333,0.3703827066056075,0.6,0.13437851308200388,0.41642358312681776,0.06000000000000002,-0.021427759287527454,0.2929781349096146,1
