b,c,w,q,seed,num_rounds,a_model,b_model,a_cooperation_rate,b_cooperation_rate,a_total,b_total,mutual_c_rate
4.0,2.0,0.0,0.0,0,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,0.0,0.0,1,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,0.0,0.0,2,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,0.0,0.0,3,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,1.0,0.0,0,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,1.0,0.0,1,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,1.0,0.0,2,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,1.0,0.0,3,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,0.0,1.0,0,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,0.0,1.0,1,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,0.0,1.0,2,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,0.0,1.0,3,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,1.0,1.0,0,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,1.0,1.0,1,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,1.0,1.0,2,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
4.0,2.0,1.0,1.0,3,20,qwen3-8b-base,qwen3-8b-base,1.0,1.0,80.0,80.0,1.0
